,President (P),State of Birth (P),Term (P),Birthdate (P),Age of Inauguration (P),Previous Occupation (P),Party (P),Vice President
17,"Grant, Ulysses S.",Ohio,1869–1877,4/27/1822,46,Military,Republican,"Schuyler Colfax,Henry Wilson"
18,"Hayes, Rutherford Birchard",Ohio,1877–1881,10/4/1822,54,Lawyer,Republican,William A. Wheeler
19,"Garfield, James Abram",Ohio,1881-1881,11/19/1831,49,"Ordained minister, lawyer, teacher",Republican,Chester Alan Arthur
20,"Arthur, Chester Alan",Vermont,1881–1885,10/5/1829,50,"Lawyer, teacher, tariff collector",Republican,None
21,"Cleveland, Grover",New Jersey,1885–1889,3/18/1837,47,Lawyer,Democratic,Thomas Hendricks
22,"Harrison, Benjamin",Ohio,1889–1893,8/20/1833,55,Court reporter,Republican,Levi P. Morton
23,"Cleveland, Grover",New Jersey,1893–1897,3/18/1837,55,Lawyer,Democratic,Adlai E. Stevenson
24,"McKinley, William",Ohio,1897–1901,1/29/1843,54,Lawyer,Republican,"Garret A. Hobart,Theodore Roosevelt"
25,"Roosevelt, Theodore",New York,1901–1909,10/27/1858,42,"Historian, public servant, naturalist, military officer, policeman, rancher",Republican,Charles W. Fairbanks
26,"Taft, William Howard",Ohio,1909–1913,9/15/1857,51,"Lawyer, dean",Republican,James S. Sherman
27,"Wilson, Woodrow",Virginia,1913–1921,12/28/1856,56,Academic,Democratic,Thomas R. Marshall
28,"Harding, Warren Gamaliel",Ohio,1921–1923,11/2/1865,55,"Journalist, publisher",Republican,Calvin Coolidge
29,"Coolidge, Calvin",Vermont,1923–1929,7/4/1872,51,Lawyer,Republican,Charles G. Dawes
30,"Hoover, Herbert Clark",Iowa,1929–1933,8/10/1874,54,"Businessman, mining engineer",Republican,Charles Curtis
31,"Roosevelt, Franklin Delano",New York,1933–1945,1/30/1882,51,Lawyer,Democratic,"John Nance Garner,Henry A. Wallace,Harry S. Truman"
32,"Truman, Harry",Missouri,1945–1953,5/8/1884,60,Farmer,Democratic,Alben W. Barkley
33,"Eisenhower, Dwight David",Texas,1953–1961,10/14/1890,62,"Military officer, President of Columbia University",Republican,Richard Milhous Nixon
34,"Kennedy, John Fitzgerald",Massachusetts,1961–1963,5/29/1917,43,"Journalist, military officer",Democratic,Lyndon Baines Johnson
35,"Johnson, Lyndon Baines",Texas,1963–1969,8/27/1908,55,"Teacher, military officer, rancher",Democratic,Hubert Horatio Humphrey
36,"Nixon, Richard Milhous",California,1969–1974,1/9/1913,56,"Lawyer, naval officer",Republican,"Spiro T. Agnew,Gerald Rudolph Ford"
37,"Ford, Gerald Rudolph",Nebraska,1974–1977,7/14/1913,61,"Lawyer, naval officer",Republican,Nelson Rockefeller
38,"Carter, James Earl Jr.",Georgia,1977–1981,10/1/1924,52,"Farmer, naval officer",Democratic,Walter Mondale
39,"Reagan, Ronald Wilson",Illinois,1981–1989,2/6/1911,69,"Actor, Screen Actors Guild President",Republican,George Herbert Walker Bush
40,"Bush, George Herbert Walker",Massachusetts,1989–1993,6/12/1924,64,"Businessman, naval aviator",Republican,J. Danforth Quayle
41,"Clinton, William Jefferson",Arkansas,1993– 2001,8/19/1946,46,"Lawyer, law professor at the University of Arkansas",Democratic,"Albert Gore, Jr."
42,"Bush, George Walker",Connecticut,2001–2009,7/6/46,54,"Businessman, Air National Guard pilot",Republican,Richard Cheney
43,"Obama, Barack Hussein",Hawaii,2009-2017,8/4/61,47,"Lawyer, law professor at the University of Chicago",Democratic,Joseph Biden
44,"Trump, Donald John",New York,2017-2021,06/14/1946,70,"Businessman, real estate developer, reality television personality",Republican,Mike Pence
45,"Biden, Joseph, Robinette",Pennsylvania,2021,11/20/1942,78,Lawyer,Democratic,Kamala Harris
